R1_PINH1,86.01,-66.11,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,108.88,-69.96,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,64.51,-98.39,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,142.12,-90.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,90.03,-62.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.49,-63.97,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.50,-65.33,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,113.78,-59.87,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,55.52,-85.07,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,82.03,-71.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,39.85,-79.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,38.70,-66.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,52.99,-66.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,48.88,-66.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,35.47,-79.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.95,-2.95,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,45.51,-3.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITATOR,90.78,-54.86,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.55,-3.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,62.87,-81.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.09,-3.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,153.45,-96.28,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,60.56,-98.91,0.00,,SJ
TP1,29.01,-108.01,0.00,TPTP20R,TP20R
TP10,133.76,-46.69,0.00,TPTP20R,TP20R
TP11,44.39,-107.61,0.00,TPTP20R,TP20R
TP12,118.21,-46.69,0.00,TPTP20R,TP20R
TP13,104.36,-47.29,0.00,TPTP20R,TP20R
TP14,87.61,-33.59,0.00,TPTP20R,TP20R
TP15,87.36,-23.09,0.00,TPTP20R,TP20R
TP16,86.51,-13.19,0.00,TPTP20R,TP20R
TP17,84.86,-4.19,0.00,TPTP20R,TP20R
TP2,15.03,-107.51,0.00,TPTP20R,TP20R
TP3,2.75,-103.21,0.00,TPTP20R,TP20R
TP4,3.07,-95.01,0.00,TPTP20R,TP20R
TP5,76.89,-4.01,0.00,TPTP20R,TP20R
TP6,155.91,-47.21,0.00,TPTP20R,TP20R
TP7,145.43,-47.31,0.00,TPTP20R,TP20R
TP8,2.95,-87.31,0.00,TPTP20R,TP20R
TP9,2.87,-78.31,0.00,TPTP20R,TP20R
U1,41.79,-56.34,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.10,-59.36,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.15,-57.90,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,133.20,-55.68,0.00,MAX17048G+T10,SON50P200X200X80-9N
